SLAM1;Exploitation d'un schéma de données
SLAM2;Programmation objet
SLAM3;Conception et adaptation d'une base de données
SLAM4;Réalisation et maintenance de composants logiciels
SLAM5;Conception et adaptation de solutions logicielles
